m,n,k,time_directo,time_subrutina
200,300,300,0.136677995,0.135980994
250,300,300,0.171668991,0.171840996
300,300,300,0.205595002,0.207269996
350,300,300,0.229409993,0.229308993
400,300,300,0.264186025,0.262421995
450,300,300,0.294990003,0.267473012
500,300,300,0.329157978,0.332991987
50,350,300,3.54329981E-02,3.54239978E-02
100,350,300,7.80140013E-02,7.77100027E-02
150,350,300,0.117310002,0.116772994
200,350,300,0.159373000,0.157848001
250,350,300,0.198612005,0.197792992
300,350,300,0.232363999,0.232743993
350,350,300,0.263341010,0.267085999
400,350,300,0.303014994,0.302388012
450,350,300,0.242781997,0.341701001
500,350,300,0.380712003,0.377718985
50,400,300,3.53639983E-02,3.53180021E-02
100,400,300,7.87920058E-02,7.95879960E-02
150,400,300,0.120066002,0.118293993
200,400,300,0.159520999,0.158293992
250,400,300,0.200768009,0.200235009
300,400,300,0.235783994,0.236362010
350,400,300,0.218473002,0.267160982
400,400,300,0.305648983,0.307408988
450,400,300,0.345118999,0.342978984
500,400,300,0.366748005,0.384648979
50,450,300,3.03570013E-02,3.03920005E-02
100,450,300,8.43610018E-02,8.44110027E-02
150,450,300,0.127198994,0.127301991
200,450,300,0.170472011,0.124716997
250,450,300,0.211416990,0.211823002
300,450,300,0.251643002,0.252591014
350,450,300,0.286754012,0.286458015
400,450,300,0.329216987,0.327982008
450,450,300,0.376370013,0.374206007
500,450,300,0.413966984,0.410407007
50,500,300,4.02630009E-02,3.99980024E-02
100,500,300,8.95719975E-02,8.97450000E-02
150,500,300,0.136384994,0.101190001
200,500,300,0.182627991,0.184346989
250,500,300,0.231741011,0.230431005
300,500,300,0.271389008,0.195616007
350,500,300,0.306226015,0.310223997
400,500,300,0.355111003,0.355084002
450,500,300,0.399399996,0.324200004
500,500,300,0.418504983,0.426771998
50,50,350,1.05959997E-02,1.11779999E-02
100,50,350,2.18800008E-02,2.26900000E-02
150,50,350,3.44889984E-02,3.46729979E-02
200,50,350,4.99310009E-02,4.11150008E-02
250,50,350,4.68019992E-02,6.29490018E-02
300,50,350,5.34240007E-02,6.57390058E-02
350,50,350,7.12020025E-02,7.14680031E-02
400,50,350,8.89939964E-02,8.78290012E-02
450,50,350,0.101449996,9.97649953E-02
500,50,350,0.112359002,0.110951997
50,100,350,1.43909995E-02,1.44339995E-02
100,100,350,2.61220001E-02,2.26649996E-02
150,100,350,4.81330007E-02,4.80320007E-02
200,100,350,4.56519984E-02,4.75520007E-02
250,100,350,6.20440021E-02,6.30939975E-02
300,100,350,8.68899971E-02,8.70300010E-02
350,100,350,8.98959935E-02,9.23929960E-02
400,100,350,0.117359005,0.117147997
450,100,350,0.119256005,0.118923999
500,100,350,0.149186000,0.150120988
50,150,350,1.64919998E-02,1.63399987E-02
100,150,350,3.20119970E-02,3.92349996E-02
150,150,350,6.34140000E-02,6.33689985E-02
200,150,350,8.52679983E-02,8.58200043E-02
250,150,350,9.37239975E-02,9.24580023E-02
300,150,350,0.115855001,0.115176000
350,150,350,0.118440002,0.117280006
400,150,350,0.159183994,0.158145994
450,150,350,0.151300997,0.151097998
500,150,350,0.201072007,0.198223993
50,200,350,2.18180008E-02,2.17589997E-02
100,200,350,4.54440005E-02,4.57049981E-02
150,200,350,7.33770058E-02,7.33329952E-02
200,200,350,0.100067995,9.89679992E-02
250,200,350,0.107905000,0.107248999
300,200,350,0.136372998,0.136307001
350,200,350,0.137205988,0.137977988
400,200,350,0.185683012,0.185478985
450,200,350,0.178398013,0.179285005
500,200,350,0.232170001,0.234568000
