m,n,k,time_int,time_ext,max_error
1000,2000,500,0.1387920379638672,1.8056869506835938E-002,0.000000000000000
1500,2000,500,0.1553161144256592,2.7410984039306641E-002,0.000000000000000
2000,2000,500,0.1439859867095947,3.1581878662109375E-002,0.000000000000000
3000,2000,500,0.1680359840393066,5.1505088806152344E-002,0.000000000000000
5000,2000,500,0.1672010421752930,6.8023920059204102E-002,0.000000000000000
100,3000,500,0.1010489463806152,2.8369426727294922E-003,0.000000000000000
250,3000,500,0.1025869846343994,4.9769878387451172E-003,0.000000000000000
500,3000,500,0.1100308895111084,8.5599422454833984E-003,0.000000000000000
750,3000,500,0.1133520603179932,1.2279033660888672E-002,0.000000000000000
1000,3000,500,0.1358869075775146,1.8216133117675781E-002,0.000000000000000
1500,3000,500,0.1546070575714111,3.0104875564575195E-002,0.000000000000000
2000,3000,500,0.1662099361419678,3.9506912231445313E-002,0.000000000000000
3000,3000,500,0.1672389507293701,4.9743890762329102E-002,0.000000000000000
5000,3000,500,0.2213389873504639,9.1307878494262695E-002,0.000000000000000
100,5000,500,0.1206588745117188,4.9850940704345703E-003,0.000000000000000
250,5000,500,0.1312680244445801,1.0812997817993164E-002,0.000000000000000
500,5000,500,0.1239490509033203,1.7673015594482422E-002,0.000000000000000
750,5000,500,0.1412949562072754,2.7909040451049805E-002,0.000000000000000
1000,5000,500,0.1441211700439453,4.1575193405151367E-002,0.000000000000000
1500,5000,500,0.1862208843231201,6.7653894424438477E-002,0.000000000000000
2000,5000,500,0.1849610805511475,7.7645063400268555E-002,0.000000000000000
3000,5000,500,0.2709650993347168,0.1364829540252686,0.000000000000000
5000,5000,500,0.3649098873138428,0.1986780166625977,0.000000000000000
100,100,750,0.1110010147094727,6.8187713623046875E-004,0.000000000000000
250,100,750,0.1212968826293945,2.0000934600830078E-003,0.000000000000000
500,100,750,0.1177399158477783,2.5849342346191406E-003,0.000000000000000
750,100,750,0.1084821224212646,4.0400028228759766E-003,0.000000000000000
1000,100,750,0.1122429370880127,5.4059028625488281E-003,0.000000000000000
1500,100,750,0.1200480461120605,7.5490474700927734E-003,0.000000000000000
2000,100,750,0.1171431541442871,1.0975837707519531E-002,0.000000000000000
3000,100,750,0.1428768634796143,2.0061016082763672E-002,0.000000000000000
5000,100,750,0.1528041362762451,3.3035993576049805E-002,0.000000000000000
100,250,750,0.1167688369750977,8.5783004760742188E-004,0.000000000000000
