m,n,k,time_collapse,time_nocollapse,error_max
750,1500,1000,0.1400709152221680,0.1710889339447021,0.000000000000000
1000,1500,1000,0.1169538497924805,0.1677329540252686,0.000000000000000
1500,1500,1000,0.1422491073608398,0.1824119091033936,0.000000000000000
2000,1500,1000,0.1869251728057861,0.1866240501403809,0.000000000000000
3000,1500,1000,0.1937007904052734,0.2006371021270752,0.000000000000000
5000,1500,1000,0.2222769260406494,0.2295730113983154,0.000000000000000
100,2000,1000,0.1168808937072754,0.2035319805145264,0.000000000000000
250,2000,1000,0.1015319824218750,0.2043991088867188,0.000000000000000
500,2000,1000,0.1287498474121094,0.2211070060729980,0.000000000000000
750,2000,1000,0.1493608951568604,0.2276699542999268,0.000000000000000
1000,2000,1000,0.1587200164794922,0.2289550304412842,0.000000000000000
1500,2000,1000,0.1757340431213379,0.2390260696411133,0.000000000000000
2000,2000,1000,0.1749489307403564,0.2412559986114502,0.000000000000000
3000,2000,1000,0.2170801162719727,0.2602388858795166,0.000000000000000
5000,2000,1000,0.2879610061645508,0.2864418029785156,0.000000000000000
100,3000,1000,0.1357409954071045,0.3088881969451904,0.000000000000000
250,3000,1000,0.1433050632476807,0.3119769096374512,0.000000000000000
500,3000,1000,0.1553480625152588,0.3352088928222656,0.000000000000000
750,3000,1000,0.1718618869781494,0.3400838375091553,0.000000000000000
1000,3000,1000,0.1829931735992432,0.3399951457977295,0.000000000000000
